ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R,m,o,h,a,ep,seed
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,9
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,1230
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,1230
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,1230
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,1230
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,1230
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,1230
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,1230
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,1230
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,1230
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,1230
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,1230
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,1230
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,660
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,660
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,660
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,660
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,660
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,660
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,660
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,660
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,660
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,660
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,660
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,660
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,5670
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,5670
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,5670
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,5670
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,5670
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,5670
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,5670
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,5670
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,5670
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,5670
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,5670
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,5670
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,3450
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,3450
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,3450
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,3450
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,3450
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,3450
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,3450
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,3450
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,3450
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,3450
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,3450
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,3450
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,100
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,100
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,100
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,100
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,100
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,100
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,100
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,100
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,100
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,100
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,100
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,100
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,2230
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,2230
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,2230
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,2230
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,2230
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,2230
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,2230
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,2230
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,2230
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,2230
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,2230
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,2230
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,1110
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,1110
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,1110
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,1110
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,1110
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,1110
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,1110
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,1110
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,1110
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,1110
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,1110
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,1110
1,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,1,1,3,0,2500,7770
2,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,0,1,3,0,2500,7770
3,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,2,1,3,0,2500,7770
4,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,10,x,1-1-1-1,-1,1,3,0,2500,7770
5,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,1,1,3,0,2500,7770
6,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,0,1,3,0,2500,7770
7,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,2,1,3,0,2500,7770
8,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,5,x,1-1-1-1,-1,1,3,0,2500,7770
9,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,1,1,3,0,2500,7770
10,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,0,1,3,0,2500,7770
11,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,2,1,3,0,2500,7770
12,50,30,5,0|15|0,49|15|0,40|5|0-40|15|0-40|20|0-40|25|0,25-25-25-25,1,x,1-1-1-1,-1,1,3,0,2500,7770
